cluster,Latitude,Longitude,count
-1,11.021664612605042,24.454688142016806,357
0,10.218846866463121,137.8521843323156,12446
1,-22.29854076803724,-176.48048890612878,2578
2,-57.55168094339622,-25.748302641509433,530
3,-57.37752344497608,147.80923014354067,209
4,13.171189583333332,-44.58798541666667,48
5,53.61342299134734,-162.91109765142153,809
6,-6.9350215143930285,-84.64319724567306,3328
7,38.584580968858134,23.387378892733565,289
8,-46.015676262626265,170.6456977272727,396
9,46.959666659999996,-122.84886668000001,5
10,-41.357032258064514,43.15712903225807,31
11,32.887125714285716,54.325846349206344,315
12,-51.894973949579835,16.978438655462185,119
13,-63.092812,-162.405188,25
14,-0.2521751479289941,-21.344244970414202,169
15,-10.223074545454546,67.55930181818181,110
16,29.237292592592592,-41.58136172839506,81
17,-56.730139130434786,-141.98076086956522,69
18,38.24792307692308,116.41884615384615,13
19,1.3375000000000001,30.613166666666668,6
20,-45.718545454545456,95.84392272727273,22
21,4.812008695652174,62.61681304347826,23
22,17.43608,-64.42136421052632,95
23,-49.541169230769235,120.11072307692308,26
24,56.956,121.13071428571428,7
25,-49.92671612903226,-114.76026451612904,31
26,53.09385882352941,-33.89272941176471,17
27,-58.13451666666666,-65.70651666666667,12
28,-55.034160927152314,-128.3768225165563,151
29,79.82642857142856,0.8894285714285715,14
30,72.02213888888889,-3.6164722222222228,36
31,12.47037108433735,50.015445783132535,83
32,-45.37503783783784,-13.818951351351352,37
33,-39.19579107142857,79.16818928571429,56
34,6.11774,146.22387999999998,5
35,64.795785,-18.806255,20
36,36.406666666666666,-11.25,6
37,28.560457142857143,34.44945714285714,7
38,57.6463125,-32.92148125,16
39,1.8284444444444443,-100.032,9
40,6.670704651162791,-35.39035348837209,43
41,-60.57573333333333,-50.46648787878788,33
42,8.948367567567567,-103.43762972972974,37
43,49.51790909090909,88.47154545454545,11
44,-52.063,-74.55460000000001,5
45,-3.3296666666666668,85.21633333333334,6
46,-11.529375,-13.5105375,8
47,-63.17960000000001,-61.534400000000005,5
48,-4.52218961038961,-104.94190909090909,77
49,51.68485714285714,96.83385714285714,7
50,-1.4937999999999998,89.73519999999999,5
51,-35.802710714285716,-16.798446428571427,28
52,49.92512903225807,78.81736559139786,93
53,19.467166666666667,-155.45770833333333,24
54,-47.577457894736845,99.98798421052632,19
55,45.75971111111111,26.655133333333332,9
56,73.36025,54.79275,20
57,-33.947424444444444,56.100968888888886,45
58,-22.374000000000002,-11.7052,5
59,-41.8196375,86.609625,16
60,-13.35115,-111.65146874999999,16
61,44.61266666666666,-112.6655,6
62,-6.8000625,29.592875,16
63,45.90172727272727,12.602636363636362,11
64,47.81483333333333,48.134833333333326,6
65,-10.236,33.6668,5
66,-31.958250000000003,-14.185,12
67,-21.955933333333334,-138.94253333333333,30
68,-27.435000000000002,26.859199999999998,5
69,-15.356250000000001,-14.0454,12
70,36.32293043478261,1.0363130434782608,23
71,-9.097388888888888,-109.04508333333334,18
72,-59.437875,-150.9214,8
73,38.352583333333335,-26.78333333333333,12
74,-3.4198461538461538,177.57823076923074,13
75,-52.9448,-46.52419999999999,5
76,-53.962509999999995,-53.824059999999996,10
77,44.97020714285714,-28.460350000000002,14
78,32.004400000000004,120.9666,5
79,-7.251450000000001,-12.891191666666666,12
80,-27.733800000000002,-13.174600000000002,10
81,-65.57862857142857,-178.51128571428572,7
82,80.8584,121.3238,5
83,5.338333333333334,31.83966666666667,6
84,-17.329125,-115.95037500000001,8
85,-27.92625,75.133375,8
86,85.66699999999999,85.82083333333333,6
87,23.468200000000003,70.4212,5
88,-1.8783333333333332,29.39165,6
89,55.965999999999994,111.253,5
90,-26.9632,66.9832,5
